fid,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,la_bg_final_NAME,la_bg_final_pop,la_bg_final_bg_fire_counts
"1","06","037","187200","2","060371872002",Block Group 2,G5030,S,"543859","8150","+34.1069009","-118.2493596",,,,,
"2","06","037","187300","1","060371873001",Block Group 1,G5030,S,"708405","0","+34.1041310","-118.2566334",,,,,
"3","06","037","187300","2","060371873002",Block Group 2,G5030,S,"460439","0","+34.0977378","-118.2568632",,,,,
"4","06","037","543702","4","060375437024",Block Group 4,G5030,S,"272187","0","+33.8108754","-118.2732027",,,,,
"5","06","037","543702","5","060375437025",Block Group 5,G5030,S,"211461","0","+33.8164435","-118.2734112",,,,,
"6","06","037","543703","1","060375437031",Block Group 1,G5030,S,"1036654","0","+33.8035208","-118.2698996",,,,,
"7","06","037","204300","2","060372043002",Block Group 2,G5030,S,"186945","0","+34.0363456","-118.2066799",,,,,
"8","06","037","204300","3","060372043003",Block Group 3,G5030,S,"194868","0","+34.0386068","-118.2106066",,,,,
"9","06","037","204300","4","060372043004",Block Group 4,G5030,S,"114173","0","+34.0417194","-118.2086206",,,,,
"10","06","037","204410","1","060372044101",Block Group 1,G5030,S,"197865","0","+34.0464593","-118.2158732",,,,,
"11","06","037","204410","2","060372044102",Block Group 2,G5030,S,"99012","0","+34.0456462","-118.2140669",,,,,
"12","06","037","204600","1","060372046001",Block Group 1,G5030,S,"309004","0","+34.0345211","-118.2174861",,,,,
"13","06","037","204600","2","060372046002",Block Group 2,G5030,S,"255172","18298","+34.0404152","-118.2158061",,,,,
"14","06","037","209300","2","060372093002",Block Group 2,G5030,S,"154865","0","+34.0499224","-118.2663972",,,,,
"15","06","037","209402","2","060372094022",Block Group 2,G5030,S,"70037","0","+34.0554075","-118.2767387",,,,,
"16","06","037","209510","2","060372095102",Block Group 2,G5030,S,"93792","0","+34.0535809","-118.2830007",,,,,
"17","06","037","209520","1","060372095201",Block Group 1,G5030,S,"140321","0","+34.0500485","-118.2758427",,,,,
"18","06","037","209810","2","060372098102",Block Group 2,G5030,S,"70446","0","+34.0481600","-118.2825796",,,,,
"19","06","037","209820","1","060372098201",Block Group 1,G5030,S,"90243","0","+34.0479893","-118.2778306",,,,,
"20","06","037","210010","1","060372100101",Block Group 1,G5030,S,"125395","0","+34.0485927","-118.2725963",,,,,
"21","06","037","210010","2","060372100102",Block Group 2,G5030,S,"190304","0","+34.0462086","-118.2709740",,,,,
"22","06","037","543801","1","060375438011",Block Group 1,G5030,S,"1682694","41547","+33.8424449","-118.2718835",,,,,
"23","06","037","543802","2","060375438022",Block Group 2,G5030,S,"283246","0","+33.8299223","-118.2736565",,,,,
"24","06","037","543802","3","060375438023",Block Group 3,G5030,S,"317020","0","+33.8260492","-118.2722559",,,,,
"25","06","037","543802","4","060375438024",Block Group 4,G5030,S,"416657","0","+33.8281238","-118.2665499",,,,,
"26","06","037","201110","2","060372011102",Block Group 2,G5030,S,"418979","0","+34.0928104","-118.1760899",,,,,
"27","06","037","201120","1","060372011201",Block Group 1,G5030,S,"204314","0","+34.0932663","-118.1634265",,,,,
"28","06","037","201120","2","060372011202",Block Group 2,G5030,S,"387020","0","+34.0947292","-118.1661707",,,,,
"29","06","037","201120","3","060372011203",Block Group 3,G5030,S,"200834","0","+34.0972063","-118.1590034",,,,,
"30","06","037","201200","1","060372012001",Block Group 1,G5030,S,"440870","0","+34.0887085","-118.1785472",,,,,
"31","06","037","201301","1","060372013011",Block Group 1,G5030,S,"413141","0","+34.0895374","-118.1853482",,,,,
"32","06","037","208610","1","060372086101",Block Group 1,G5030,S,"215934","0","+34.0733680","-118.2811939",,,,,
"33","06","037","137402","3","060371374023",Block Group 3,G5030,S,"630299","0","+34.1616731","-118.6259609",,,,,
"34","06","037","551700","5","060375517005",Block Group 5,G5030,S,"158937","0","+33.9202235","-118.1536982",,,,,
"35","06","037","551800","1","060375518001",Block Group 1,G5030,S,"406976","28086","+33.9127465","-118.1117985",,,,,
"36","06","037","551800","3","060375518003",Block Group 3,G5030,S,"298294","0","+33.9140572","-118.1372040",,,,,
"37","06","037","551800","4","060375518004",Block Group 4,G5030,S,"326476","0","+33.9134198","-118.1231903",,,,,
"38","06","037","201301","2","060372013012",Block Group 2,G5030,S,"453046","0","+34.0870609","-118.1901100",,,,,
"39","06","037","204700","1","060372047001",Block Group 1,G5030,S,"340963","0","+34.0340620","-118.2105228",,,,,
"40","06","037","204700","2","060372047002",Block Group 2,G5030,S,"391225","0","+34.0307062","-118.2126372",,,,,
"41","06","037","204700","3","060372047003",Block Group 3,G5030,S,"278877","0","+34.0276034","-118.2145490",,,,,
"42","06","037","204810","1","060372048101",Block Group 1,G5030,S,"234269","0","+34.0310287","-118.2033827",,,,,
"43","06","037","204810","2","060372048102",Block Group 2,G5030,S,"216376","0","+34.0272609","-118.1996866",,,,,
"44","06","037","204810","3","060372048103",Block Group 3,G5030,S,"319059","0","+34.0276156","-118.2049719",,,,,
"45","06","037","204820","1","060372048201",Block Group 1,G5030,S,"124400","0","+34.0247796","-118.2085863",,,,,
"46","06","037","204820","2","060372048202",Block Group 2,G5030,S,"195744","0","+34.0232023","-118.2040967",,,,,
"47","06","037","551600","1","060375516001",Block Group 1,G5030,S,"912887","0","+33.9255374","-118.1619504",3.39582007411651e-05,0.032258064516129,"Block Group 1, Census Tract 5516, Los Angeles County, California","31","1"
"48","06","037","551700","1","060375517001",Block Group 1,G5030,S,"533354","0","+33.9151231","-118.1432349",,,,,
"49","06","037","210010","3","060372100103",Block Group 3,G5030,S,"93275","0","+34.0458167","-118.2746502",,,,,
"50","06","037","211000","1","060372110001",Block Group 1,G5030,S,"344228","0","+34.0729269","-118.3235860",,,,,
"51","06","037","211000","2","060372110002",Block Group 2,G5030,S,"387511","0","+34.0645238","-118.3261586",,,,,
"52","06","037","211000","3","060372110003",Block Group 3,G5030,S,"739935","0","+34.0716270","-118.3298663",,,,,
"53","06","037","211000","4","060372110004",Block Group 4,G5030,S,"578986","0","+34.0653265","-118.3334713",,,,,
"54","06","037","211000","6","060372110006",Block Group 6,G5030,S,"283587","0","+34.0646548","-118.3424436",,,,,
"55","06","037","211120","1","060372111201",Block Group 1,G5030,S,"80033","0","+34.0677869","-118.2861633",,,,,
"56","06","037","211120","2","060372111202",Block Group 2,G5030,S,"424237","0","+34.0646520","-118.2882872",,,,,
"57","06","037","551700","2","060375517002",Block Group 2,G5030,S,"276619","0","+33.9174196","-118.1477238",,,,,
"58","06","037","201302","1","060372013021",Block Group 1,G5030,S,"403304","0","+34.0972231","-118.1818084",,,,,
"59","06","037","201302","2","060372013022",Block Group 2,G5030,S,"125242","0","+34.1004656","-118.1816754",,,,,
"60","06","037","211500","2","060372115002",Block Group 2,G5030,S,"273142","0","+34.0709980","-118.3123904",,,,,
"61","06","037","211310","2","060372113102",Block Group 2,G5030,S,"82721","0","+34.0701145","-118.2985105",,,,,
"62","06","037","211320","1","060372113201",Block Group 1,G5030,S,"93963","0","+34.0708874","-118.2929144",,,,,
"63","06","037","211410","2","060372114102",Block Group 2,G5030,S,"90224","0","+34.0726213","-118.3061047",,,,,
"64","06","037","211420","1","060372114201",Block Group 1,G5030,S,"189335","0","+34.0726465","-118.3016555",,,,,
"65","06","037","211420","2","060372114202",Block Group 2,G5030,S,"191740","0","+34.0726264","-118.3042132",,,,,
"66","06","037","211500","1","060372115001",Block Group 1,G5030,S,"213982","0","+34.0746379","-118.3124078",,,,,
"67","06","037","211500","3","060372115003",Block Group 3,G5030,S,"421913","0","+34.0722943","-118.3185634",,,,,
"68","06","037","211701","3","060372117013",Block Group 3,G5030,S,"165410","0","+34.0635143","-118.3162779",,,,,
"69","06","037","551900","1","060375519001",Block Group 1,G5030,S,"343472","12359","+33.9149276","-118.1064631",,,,,
"70","06","037","551900","2","060375519002",Block Group 2,G5030,S,"134354","0","+33.9119270","-118.1007018",,,,,
"71","06","037","551900","3","060375519003",Block Group 3,G5030,S,"458758","0","+33.9117542","-118.1024302",,,,,
"72","06","037","551900","4","060375519004",Block Group 4,G5030,S,"185566","0","+33.9046777","-118.1017113",,,,,
"73","06","037","551900","5","060375519005",Block Group 5,G5030,S,"234644","0","+33.9059703","-118.1056622",,,,,
"74","06","037","551900","6","060375519006",Block Group 6,G5030,S,"184227","15220","+33.9088092","-118.1084498",,,,,
"75","06","037","552100","1","060375521001",Block Group 1,G5030,S,"281787","0","+33.9081130","-118.0840961",,,,,
"76","06","037","201302","3","060372013023",Block Group 3,G5030,S,"151416","0","+34.1012058","-118.1837082",,,,,
"77","06","037","201302","4","060372013024",Block Group 4,G5030,S,"311766","0","+34.0960822","-118.1875349",,,,,
"78","06","037","550300","1","060375503001",Block Group 1,G5030,S,"297140","0","+33.9289701","-118.0923023",,,,,
"79","06","037","550400","1","060375504001",Block Group 1,G5030,S,"815257","8853","+33.9365543","-118.0977003",,,,,
"80","06","037","550300","2","060375503002",Block Group 2,G5030,S,"402986","0","+33.9246006","-118.0965114",,,,,
"81","06","037","550300","3","060375503003",Block Group 3,G5030,S,"177171","0","+33.9300180","-118.0970357",,,,,
"82","06","037","550300","4","060375503004",Block Group 4,G5030,S,"639664","25470","+33.9285013","-118.1028922",,,,,
"83","06","037","550300","5","060375503005",Block Group 5,G5030,S,"344457","0","+33.9202487","-118.1019465",,,,,
"84","06","037","550300","6","060375503006",Block Group 6,G5030,S,"225433","0","+33.9190476","-118.1070964",,,,,
"85","06","037","551202","2","060375512022",Block Group 2,G5030,S,"161760","0","+33.9229213","-118.1357932",,,,,
"86","06","037","551201","1","060375512011",Block Group 1,G5030,S,"320043","0","+33.9312543","-118.1429026",,,,,
"87","06","037","551201","2","060375512012",Block Group 2,G5030,S,"468670","0","+33.9259170","-118.1469558",,,,,
"88","06","037","551202","1","060375512021",Block Group 1,G5030,S,"360862","0","+33.9272203","-118.1339842",,,,,
"89","06","037","551202","3","060375512023",Block Group 3,G5030,S,"482209","0","+33.9209837","-118.1409558",,,,,
"90","06","037","551202","4","060375512024",Block Group 4,G5030,S,"396237","0","+33.9271970","-118.1394105",,,,,
"91","06","037","550800","1","060375508001",Block Group 1,G5030,S,"315111","0","+33.9519647","-118.1340682",,,,,
"92","06","037","551300","1","060375513001",Block Group 1,G5030,S,"600220","0","+33.9332191","-118.1295485",,,,,
"93","06","037","551300","2","060375513002",Block Group 2,G5030,S,"356207","0","+33.9353606","-118.1341071",,,,,
"94","06","037","213100","2","060372131002",Block Group 2,G5030,S,"283810","0","+34.0506650","-118.3144030",,,,,
"95","06","037","213201","1","060372132011",Block Group 1,G5030,S,"140620","0","+34.0535442","-118.3037200",,,,,
"96","06","037","213201","2","060372132012",Block Group 2,G5030,S,"133812","0","+34.0517312","-118.3037058",,,,,
"97","06","037","551300","3","060375513003",Block Group 3,G5030,S,"573757","0","+33.9373846","-118.1383550",,,,,
"98","06","037","550700","2","060375507002",Block Group 2,G5030,S,"501335","44119","+33.9678779","-118.1247740",,,,,
"99","06","037","550700","3","060375507003",Block Group 3,G5030,S,"318007","0","+33.9639280","-118.1289104",,,,,
"100","06","037","550700","4","060375507004",Block Group 4,G5030,S,"371684","0","+33.9584532","-118.1315944",,,,,
"101","06","037","550700","5","060375507005",Block Group 5,G5030,S,"385731","24959","+33.9609902","-118.1385509",,,,,
"102","06","037","550700","6","060375507006",Block Group 6,G5030,S,"205757","0","+33.9620994","-118.1344418",,,,,
"103","06","037","550800","2","060375508002",Block Group 2,G5030,S,"322252","0","+33.9465748","-118.1379874",,,,,
"104","06","037","550800","3","060375508003",Block Group 3,G5030,S,"273412","0","+33.9480917","-118.1442091",,,,,
"105","06","037","552100","2","060375521002",Block Group 2,G5030,S,"240225","0","+33.9050252","-118.0798405",,,,,
"106","06","037","552100","3","060375521003",Block Group 3,G5030,S,"325071","0","+33.9042368","-118.0861413",,,,,
"107","06","037","552700","4","060375527004",Block Group 4,G5030,S,"181905","0","+33.8989400","-118.0775573",,,,,
"108","06","037","552100","4","060375521004",Block Group 4,G5030,S,"305101","0","+33.9055745","-118.0914581",,,,,
"109","06","037","552100","5","060375521005",Block Group 5,G5030,S,"309679","0","+33.9046092","-118.0967994",,,,,
"110","06","037","552200","1","060375522001",Block Group 1,G5030,S,"762460","980","+33.9045442","-118.0679754",0.00248406473782231,0.000527983104540655,"Block Group 1, Census Tract 5522, Los Angeles County, California","1894","1"
"111","06","037","552200","2","060375522002",Block Group 2,G5030,S,"551983","0","+33.9140411","-118.0770129",,,,,
"112","06","037","552200","3","060375522003",Block Group 3,G5030,S,"374513","0","+33.9075598","-118.0774157",,,,,
"113","06","037","543903","1","060375439031",Block Group 1,G5030,S,"868106","14935","+33.8297920","-118.2552900",,,,,
"114","06","037","543903","2","060375439032",Block Group 2,G5030,S,"473463","0","+33.8259625","-118.2573211",,,,,
"115","06","037","143400","3","060371434003",Block Group 3,G5030,S,"202547","0","+34.1521726","-118.4165019",,,,,
"116","06","037","143400","4","060371434004",Block Group 4,G5030,S,"358642","0","+34.1542498","-118.4190610",,,,,
"117","06","037","143500","1","060371435001",Block Group 1,G5030,S,"241709","0","+34.1476547","-118.3987019",,,,,
"118","06","037","143500","2","060371435002",Block Group 2,G5030,S,"301475","15008","+34.1476425","-118.4024550",,,,,
"119","06","037","143500","3","060371435003",Block Group 3,G5030,S,"264022","0","+34.1493568","-118.4119261",,,,,
"120","06","037","552601","1","060375526011",Block Group 1,G5030,S,"135714","0","+33.8911166","-118.0752694",,,,,
"121","06","037","552601","3","060375526013",Block Group 3,G5030,S,"147795","0","+33.8900471","-118.0804168",,,,,
"122","06","037","552602","1","060375526021",Block Group 1,G5030,S,"703665","0","+33.8911492","-118.0596850",,,,,
"123","06","037","552602","3","060375526023",Block Group 3,G5030,S,"480984","0","+33.8921160","-118.0690832",,,,,
"124","06","037","552700","3","060375527003",Block Group 3,G5030,S,"256999","0","+33.8983723","-118.0747270",,,,,
"125","06","037","552700","5","060375527005",Block Group 5,G5030,S,"268337","0","+33.8984909","-118.0806494",,,,,
"126","06","037","552800","1","060375528001",Block Group 1,G5030,S,"181425","0","+33.9011028","-118.0871058",,,,,
"127","06","037","552800","2","060375528002",Block Group 2,G5030,S,"550967","0","+33.8974094","-118.0875885",,,,,
"128","06","037","552800","4","060375528004",Block Group 4,G5030,S,"318920","0","+33.9002663","-118.0955952",,,,,
"129","06","037","552900","5","060375529005",Block Group 5,G5030,S,"329607","0","+33.8893492","-118.0955526",,,,,
"130","06","037","552900","2","060375529002",Block Group 2,G5030,S,"160882","0","+33.8894247","-118.0890139",,,,,
"131","06","037","552900","3","060375529003",Block Group 3,G5030,S,"162354","0","+33.8930593","-118.0890087",,,,,
"132","06","037","552900","4","060375529004",Block Group 4,G5030,S,"324395","0","+33.8930214","-118.0955229",,,,,
"133","06","037","553000","2","060375530002",Block Group 2,G5030,S,"172151","0","+33.8984474","-118.1034916",,,,,
"134","06","037","192620","1","060371926201",Block Group 1,G5030,S,"110516","0","+34.0776975","-118.2936719",,,,,
"135","06","037","192620","2","060371926202",Block Group 2,G5030,S,"133044","0","+34.0776502","-118.2980329",,,,,
"136","06","037","192700","2","060371927002",Block Group 2,G5030,S,"206868","0","+34.0778689","-118.2882612",,,,,
"137","06","037","194200","1","060371942001",Block Group 1,G5030,S,"1886167","0","+34.1058392","-118.3748856",,,,,
"138","06","037","553000","3","060375530003",Block Group 3,G5030,S,"549146","0","+33.8942518","-118.1063900",,,,,
"139","06","037","204910","1","060372049101",Block Group 1,G5030,S,"518337","0","+34.0248828","-118.1955701",,,,,
"140","06","037","204920","1","060372049201",Block Group 1,G5030,S,"304502","0","+34.0204001","-118.1981374",,,,,
"141","06","037","204920","2","060372049202",Block Group 2,G5030,S,"605470","0","+34.0160420","-118.1971758",,,,,
"142","06","037","205110","1","060372051101",Block Group 1,G5030,S,"286962","0","+34.0245059","-118.2142985",,,,,
"143","06","037","212203","2","060372122032",Block Group 2,G5030,S,"53516","0","+34.0587502","-118.2903515",,,,,
"144","06","037","211910","2","060372119102",Block Group 2,G5030,S,"42793","0","+34.0671993","-118.2997830",,,,,
"145","06","037","212202","2","060372122022",Block Group 2,G5030,S,"71372","0","+34.0563562","-118.2903535",,,,,
"146","06","037","212203","1","060372122031",Block Group 1,G5030,S,"52800","0","+34.0607879","-118.2903610",,,,,
"147","06","037","212306","2","060372123062",Block Group 2,G5030,S,"79030","0","+34.0561211","-118.2953275",,,,,
"148","06","037","212204","1","060372122041",Block Group 1,G5030,S,"141577","0","+34.0604722","-118.2867024",,,,,
"149","06","037","212303","1","060372123031",Block Group 1,G5030,S,"155646","0","+34.0597633","-118.2935144",,,,,
"150","06","037","212304","1","060372123041",Block Group 1,G5030,S,"205676","0","+34.0598538","-118.2979144",,,,,
"151","06","037","212410","1","060372124101",Block Group 1,G5030,S,"89517","0","+34.0602058","-118.3028212",,,,,
"152","06","037","212610","1","060372126101",Block Group 1,G5030,S,"198326","0","+34.0605926","-118.3140273",,,,,
"153","06","037","212800","3","060372128003",Block Group 3,G5030,S,"262785","0","+34.0525827","-118.3338194",,,,,
"154","06","037","212610","2","060372126102",Block Group 2,G5030,S,"158830","0","+34.0589110","-118.3136731",,,,,
"155","06","037","212800","1","060372128001",Block Group 1,G5030,S,"322451","0","+34.0509966","-118.3277623",,,,,
"156","06","037","212900","2","060372129002",Block Group 2,G5030,S,"192175","0","+34.0498218","-118.3235849",,,,,
"157","06","037","550800","4","060375508004",Block Group 4,G5030,S,"232065","0","+33.9509749","-118.1421196",,,,,
"158","06","037","550800","5","060375508005",Block Group 5,G5030,S,"441837","0","+33.9546893","-118.1391299",,,,,
"159","06","037","550800","6","060375508006",Block Group 6,G5030,S,"1064083","39171","+33.9551477","-118.1485129",,,,,
"160","06","037","550800","7","060375508007",Block Group 7,G5030,S,"211466","0","+33.9508625","-118.1510871",,,,,
"161","06","037","552400","1","060375524001",Block Group 1,G5030,S,"529440","0","+33.8981664","-118.0467880",,,,,
"162","06","037","550500","1","060375505001",Block Group 1,G5030,S,"636996","62138","+33.9522986","-118.1017791",,,,,
"163","06","037","550500","2","060375505002",Block Group 2,G5030,S,"191631","0","+33.9551813","-118.1042208",,,,,
"164","06","037","552400","3","060375524003",Block Group 3,G5030,S,"226653","0","+33.9001109","-118.0556382",,,,,
"165","06","037","550500","3","060375505003",Block Group 3,G5030,S,"495963","0","+33.9523432","-118.1072865",,,,,
"166","06","037","553000","4","060375530004",Block Group 4,G5030,S,"366117","0","+33.8912388","-118.1022088",,,,,
"167","06","037","553100","3","060375531003",Block Group 3,G5030,S,"482306","2421","+33.8819978","-118.1118571",,,,,
"168","06","037","201401","1","060372014011",Block Group 1,G5030,S,"343727","0","+34.0834168","-118.1814794",,,,,
"169","06","037","205120","1","060372051201",Block Group 1,G5030,S,"327564","0","+34.0195626","-118.2059207",,,,,
"170","06","037","206010","1","060372060101",Block Group 1,G5030,S,"1113081","10357","+34.0718134","-118.2325370",0.00235203008586078,0.000381970970206264,"Block Group 1, Census Tract 2060.10, Los Angeles County, California","2618","1"
"171","06","037","206010","2","060372060102",Block Group 2,G5030,S,"305056","10194","+34.0640019","-118.2289441",,,,,
"172","06","037","206020","1","060372060201",Block Group 1,G5030,S,"843243","30290","+34.0571230","-118.2311021",,,,,
"173","06","037","550500","4","060375505004",Block Group 4,G5030,S,"418592","49654","+33.9420828","-118.1021678",,,,,
"174","06","037","550500","5","060375505005",Block Group 5,G5030,S,"486179","0","+33.9470876","-118.1083884",,,,,
"175","06","037","553100","1","060375531001",Block Group 1,G5030,S,"657292","73205","+33.8969080","-118.1116145",,,,,
"176","06","037","195400","2","060371954002",Block Group 2,G5030,S,"262877","0","+34.0920097","-118.2778265",,,,,
"177","06","037","195500","1","060371955001",Block Group 1,G5030,S,"318762","0","+34.0873909","-118.2692293",,,,,
"178","06","037","195500","2","060371955002",Block Group 2,G5030,S,"408668","0","+34.0879801","-118.2626841",,,,,
"179","06","037","195600","2","060371956002",Block Group 2,G5030,S,"153050","0","+34.0790894","-118.2653495",,,,,
"180","06","037","543602","2","060375436022",Block Group 2,G5030,S,"458095","0","+33.8152276","-118.2939930",,,,,
"181","06","037","543603","1","060375436031",Block Group 1,G5030,S,"742590","0","+33.8010659","-118.2939072",,,,,
"182","06","037","543604","1","060375436041",Block Group 1,G5030,S,"770834","0","+33.8154116","-118.2819829",,,,,
"183","06","037","551000","1","060375510001",Block Group 1,G5030,S,"476672","94117","+33.9348435","-118.1064493",,,,,
"184","06","037","551000","2","060375510002",Block Group 2,G5030,S,"233600","0","+33.9368371","-118.1078142",,,,,
"185","06","037","551000","3","060375510003",Block Group 3,G5030,S,"675256","0","+33.9353972","-118.1161822",,,,,
"186","06","037","551000","4","060375510004",Block Group 4,G5030,S,"237943","0","+33.9394130","-118.1181728",,,,,
"187","06","037","551000","6","060375510006",Block Group 6,G5030,S,"467124","0","+33.9409273","-118.1113423",,,,,
"188","06","037","194500","1","060371945001",Block Group 1,G5030,S,"226535","0","+34.0781181","-118.3641719",,,,,
"189","06","037","195100","1","060371951001",Block Group 1,G5030,S,"369507","0","+34.1033918","-118.2620131",,,,,
"190","06","037","195100","2","060371951002",Block Group 2,G5030,S,"410043","329063","+34.0992543","-118.2615014",,,,,
"191","06","037","195600","4","060371956004",Block Group 4,G5030,S,"138802","0","+34.0821863","-118.2691443",,,,,
"192","06","037","195710","1","060371957101",Block Group 1,G5030,S,"187006","0","+34.0769000","-118.2672649",,,,,
"193","06","037","195710","2","060371957102",Block Group 2,G5030,S,"108213","0","+34.0747288","-118.2685685",,,,,
"194","06","037","195720","2","060371957202",Block Group 2,G5030,S,"116087","0","+34.0717369","-118.2639314",,,,,
"195","06","037","195802","2","060371958022",Block Group 2,G5030,S,"175305","0","+34.0743687","-118.2760819",,,,,
"196","06","037","201401","2","060372014012",Block Group 2,G5030,S,"935773","28686","+34.0782936","-118.1857852",0.00199407334898528,0.00107181136120043,"Block Group 2, Census Tract 2014.01, Los Angeles County, California","1866","2"
"197","06","037","201402","1","060372014021",Block Group 1,G5030,S,"1209891","0","+34.0711167","-118.1865605",0.00169684707134775,0.000487092060399416,"Block Group 1, Census Tract 2014.02, Los Angeles County, California","2053","1"
"198","06","037","201402","2","060372014022",Block Group 2,G5030,S,"305974","0","+34.0667512","-118.1918744",,,,,
"199","06","037","571000","4","060375710004",Block Group 4,G5030,S,"191575","0","+33.8359784","-118.1064271",,,,,
"200","06","037","554521","1","060375545211",Block Group 1,G5030,S,"1850374","34920","+33.8699117","-118.0995698",,,,,
"201","06","037","554521","2","060375545212",Block Group 2,G5030,S,"1364206","22787","+33.8616110","-118.0985748",,,,,
"202","06","037","554522","1","060375545221",Block Group 1,G5030,S,"733407","39477","+33.8493787","-118.0967221",,,,,
"203","06","037","554522","2","060375545222",Block Group 2,G5030,S,"767951","0","+33.8523107","-118.0921434",,,,,
"204","06","037","554600","1","060375546001",Block Group 1,G5030,S,"479381","0","+33.8833857","-118.0859591",,,,,
"205","06","037","554600","2","060375546002",Block Group 2,G5030,S,"577203","0","+33.8838606","-118.0920604",,,,,
"206","06","037","554700","1","060375547001",Block Group 1,G5030,S,"245511","0","+33.8858793","-118.0733980",,,,,
"207","06","037","554700","2","060375547002",Block Group 2,G5030,S,"357219","0","+33.8840080","-118.0773564",,,,,
"208","06","037","134904","2","060371349042",Block Group 2,G5030,S,"428499","3938","+34.1903367","-118.5770252",,,,,
"209","06","037","195100","3","060371951003",Block Group 3,G5030,S,"327477","0","+34.1030772","-118.2694490",,,,,
"210","06","037","570202","5","060375702025",Block Group 5,G5030,S,"371764","0","+33.8835511","-118.1825163",,,,,
"211","06","037","570203","1","060375702031",Block Group 1,G5030,S,"567557","0","+33.8787349","-118.1553575",,,,,
"212","06","037","570203","2","060375702032",Block Group 2,G5030,S,"734103","0","+33.8780113","-118.1636030",,,,,
"213","06","037","571000","1","060375710001",Block Group 1,G5030,S,"512982","0","+33.8432822","-118.1012532",,,,,
"214","06","037","571000","2","060375710002",Block Group 2,G5030,S,"291717","0","+33.8352920","-118.0964589",,,,,
"215","06","037","571000","3","060375710003",Block Group 3,G5030,S,"250305","0","+33.8341966","-118.1017040",,,,,
"216","06","037","571000","5","060375710005",Block Group 5,G5030,S,"218379","0","+33.8377447","-118.1021008",,,,,
"217","06","037","571000","6","060375710006",Block Group 6,G5030,S,"286023","0","+33.8413292","-118.1038876",,,,,
"218","06","037","571102","3","060375711023",Block Group 3,G5030,S,"317473","0","+33.8342513","-118.1207321",,,,,
"219","06","037","571101","2","060375711012",Block Group 2,G5030,S,"202717","0","+33.8413498","-118.1104005",,,,,
"220","06","037","571101","3","060375711013",Block Group 3,G5030,S,"306075","0","+33.8413432","-118.1207059",,,,,
"221","06","037","571102","2","060375711022",Block Group 2,G5030,S,"251239","0","+33.8342265","-118.1131080",,,,,
"222","06","037","571102","4","060375711024",Block Group 4,G5030,S,"301262","0","+33.8378109","-118.1206841",,,,,
"223","06","037","571102","5","060375711025",Block Group 5,G5030,S,"180669","0","+33.8377737","-118.1139254",,,,,
"224","06","037","571200","1","060375712001",Block Group 1,G5030,S,"405959","0","+33.8432021","-118.1275400",,,,,
"225","06","037","197200","3","060371972003",Block Group 3,G5030,S,"207251","27176","+34.0931970","-118.2367011",,,,,
"226","06","037","195100","4","060371951004",Block Group 4,G5030,S,"459275","0","+34.0979643","-118.2709984",,,,,
"227","06","037","197200","2","060371972002",Block Group 2,G5030,S,"194994","0","+34.0894017","-118.2314055",,,,,
"228","06","037","201402","3","060372014023",Block Group 3,G5030,S,"425367","0","+34.0641890","-118.1882491",,,,,
"229","06","037","574901","4","060375749014",Block Group 4,G5030,S,"355726","0","+33.7937037","-118.1306671",,,,,
"230","06","037","201501","1","060372015011",Block Group 1,G5030,S,"206897","0","+34.0902313","-118.1633905",,,,,
"231","06","037","143602","1","060371436021",Block Group 1,G5030,S,"264780","10889","+34.1441050","-118.3816985",,,,,
"232","06","037","143602","2","060371436022",Block Group 2,G5030,S,"644017","50576","+34.1450296","-118.3855058",,,,,
"233","06","037","143602","3","060371436023",Block Group 3,G5030,S,"236760","11784","+34.1474115","-118.3936674",,,,,
"234","06","037","143700","1","060371437001",Block Group 1,G5030,S,"2542380","0","+34.1304493","-118.3597134",0.000835044328542547,0.000471031559114461,"Block Group 1, Census Tract 1437, Los Angeles County, California","2123","1"
"235","06","037","143800","1","060371438001",Block Group 1,G5030,S,"260728","0","+34.1378040","-118.3673670",,,,,
"236","06","037","571200","3","060375712003",Block Group 3,G5030,S,"415107","0","+33.8341189","-118.1332659",,,,,
"237","06","037","571200","4","060375712004",Block Group 4,G5030,S,"256927","0","+33.8356423","-118.1405624",,,,,
"238","06","037","571200","6","060375712006",Block Group 6,G5030,S,"424537","0","+33.8413235","-118.1364780",,,,,
"239","06","037","574800","2","060375748002",Block Group 2,G5030,S,"333669","0","+33.7799060","-118.1266040",,,,,
"240","06","037","574800","3","060375748003",Block Group 3,G5030,S,"284511","0","+33.7863037","-118.1318266",,,,,
"241","06","037","574901","3","060375749013",Block Group 3,G5030,S,"300738","0","+33.7907188","-118.1279111",,,,,
"242","06","037","574902","1","060375749021",Block Group 1,G5030,S,"274168","0","+33.7939551","-118.1398208",,,,,
"243","06","037","574902","2","060375749022",Block Group 2,G5030,S,"283365","0","+33.7918939","-118.1369280",,,,,
"244","06","037","575102","1","060375751021",Block Group 1,G5030,S,"162390","0","+33.7853196","-118.1632843",,,,,
"245","06","037","575001","2","060375750012",Block Group 2,G5030,S,"576229","0","+33.7931603","-118.1485992",,,,,
"246","06","037","575002","2","060375750022",Block Group 2,G5030,S,"263302","0","+33.7851483","-118.1463908",,,,,
