fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop_density,fires_per_capita,tract_final_NAME,tract_final_pop,tract_final_tract_fire_counts
"1","06","037","139301","06037139301","1393.01",Census Tract 1393.01,G5020,S,"2865657","0","+34.1781538","-118.5581265",,,,,
"2","06","037","139302","06037139302","1393.02",Census Tract 1393.02,G5020,S,"338289","0","+34.1767230","-118.5383655",,,,,
"3","06","037","139502","06037139502","1395.02",Census Tract 1395.02,G5020,S,"1047548","0","+34.1628402","-118.5263110",,,,,
"4","06","037","139600","06037139600","1396",Census Tract 1396,G5020,S,"2477482","0","+34.1640599","-118.5101001",,,,,
"5","06","037","139701","06037139701","1397.01",Census Tract 1397.01,G5020,S,"3396396","2411","+34.1574290","-118.4954117",,,,,
"6","06","037","139801","06037139801","1398.01",Census Tract 1398.01,G5020,S,"3665744","0","+34.1527206","-118.5455805",,,,,
"7","06","013","324002","06013324002","3240.02",Census Tract 3240.02,G5020,S,"2019541","0","+37.9514985","-122.0605612",,,,,
"8","06","013","320004","06013320004","3200.04",Census Tract 3200.04,G5020,S,"7108002","39729","+38.0026469","-122.0763759",,,,,
"9","06","013","336201","06013336201","3362.01",Census Tract 3362.01,G5020,S,"1256563","0","+37.9604623","-122.0475025",,,,,
"10","06","013","338203","06013338203","3382.03",Census Tract 3382.03,G5020,S,"1599603","0","+37.9256330","-122.0540950",,,,,
"11","06","013","338204","06013338204","3382.04",Census Tract 3382.04,G5020,S,"2626600","15822","+37.9190883","-122.0467663",,,,,
"12","06","013","355116","06013355116","3551.16",Census Tract 3551.16,G5020,S,"14826591","0","+37.7733211","-121.8811495",,,,,
"13","06","013","345204","06013345204","3452.04",Census Tract 3452.04,G5020,S,"12473030","5258","+37.8378943","-122.0397659",,,,,
"14","06","013","345203","06013345203","3452.03",Census Tract 3452.03,G5020,S,"28068763","0","+37.8065132","-122.0248195",,,,,
"15","06","013","345112","06013345112","3451.12",Census Tract 3451.12,G5020,S,"8394028","0","+37.7615080","-121.9273696",,,,,
"16","06","013","345113","06013345113","3451.13",Census Tract 3451.13,G5020,S,"5353881","0","+37.7955019","-121.9413666",0.000852839276778845,0.000219010074463425,"Census Tract 3451.13, Contra Costa County, California","4566","1"
"17","06","037","143400","06037143400","1434",Census Tract 1434,G5020,S,"1738504","18831","+34.1538507","-118.4110998",,,,,
"18","06","037","143500","06037143500","1435",Census Tract 1435,G5020,S,"1191719","46468","+34.1476412","-118.4067800",,,,,
"19","06","037","181000","06037181000","1810",Census Tract 1810,G5020,S,"4107041","30513","+34.1452670","-118.2043861",,,,,
"20","06","037","181500","06037181500","1815",Census Tract 1815,G5020,S,"1094424","0","+34.1347812","-118.1928513",,,,,
"21","06","037","181600","06037181600","1816",Census Tract 1816,G5020,S,"1250035","0","+34.1297233","-118.2097405",,,,,
"22","06","037","183101","06037183101","1831.01",Census Tract 1831.01,G5020,S,"948156","19799","+34.1222377","-118.1823583",,,,,
"23","06","001","441402","06001441402","4414.02",Census Tract 4414.02,G5020,S,"1634514","0","+37.5823793","-122.0398730",,,,,
"24","06","001","441501","06001441501","4415.01",Census Tract 4415.01,G5020,S,"2625003","0","+37.5699748","-122.0724418",,,,,
"25","06","001","441521","06001441521","4415.21",Census Tract 4415.21,G5020,S,"1711300","0","+37.5729300","-122.0532584",,,,,
"26","06","001","441522","06001441522","4415.22",Census Tract 4415.22,G5020,S,"1307234","0","+37.5845594","-122.0572546",,,,,
"27","06","001","441601","06001441601","4416.01",Census Tract 4416.01,G5020,S,"1291645","0","+37.5635007","-122.0305372",,,,,
"28","06","001","441602","06001441602","4416.02",Census Tract 4416.02,G5020,S,"1682082","0","+37.5569619","-122.0212342",,,,,
"29","06","037","183220","06037183220","1832.20",Census Tract 1832.20,G5020,S,"535234","0","+34.1199723","-118.1892861",,,,,
"30","06","037","183300","06037183300","1833",Census Tract 1833,G5020,S,"541305","0","+34.1210001","-118.2008163",,,,,
"31","06","037","183510","06037183510","1835.10",Census Tract 1835.10,G5020,S,"500438","0","+34.1154022","-118.2030827",,,,,
"32","06","037","183520","06037183520","1835.20",Census Tract 1835.20,G5020,S,"427707","0","+34.1109412","-118.2015849",,,,,
"33","06","037","183610","06037183610","1836.10",Census Tract 1836.10,G5020,S,"378643","0","+34.1140024","-118.1948974",,,,,
"34","06","037","192300","06037192300","1923",Census Tract 1923,G5020,S,"879494","0","+34.0797430","-118.3284923",,,,,
"35","06","001","441800","06001441800","4418",Census Tract 4418,G5020,S,"2038660","0","+37.5591968","-121.9915745",,,,,
"36","06","001","441921","06001441921","4419.21",Census Tract 4419.21,G5020,S,"846805","0","+37.5424223","-121.9678076",,,,,
"37","06","037","195400","06037195400","1954",Census Tract 1954,G5020,S,"1030345","0","+34.0916923","-118.2740531",,,,,
"38","06","001","441923","06001441923","4419.23",Census Tract 4419.23,G5020,S,"1506724","0","+37.5509731","-121.9850086",,,,,
"39","06","001","442100","06001442100","4421",Census Tract 4421,G5020,S,"1836846","0","+37.5482724","-121.9498620",,,,,
"40","06","001","442400","06001442400","4424",Census Tract 4424,G5020,S,"1582838","0","+37.5313806","-121.9737794",,,,,
"41","06","001","442500","06001442500","4425",Census Tract 4425,G5020,S,"1959820","0","+37.5371439","-121.9871472",,,,,
"42","06","037","183820","06037183820","1838.20",Census Tract 1838.20,G5020,S,"308653","0","+34.1039593","-118.1971254",,,,,
"43","06","037","185100","06037185100","1851",Census Tract 1851,G5020,S,"2278050","0","+34.1048825","-118.2103941",,,,,
"44","06","037","185202","06037185202","1852.02",Census Tract 1852.02,G5020,S,"1205737","0","+34.0950599","-118.2170631",,,,,
"45","06","037","185310","06037185310","1853.10",Census Tract 1853.10,G5020,S,"421083","0","+34.0922029","-118.2226256",,,,,
"46","06","073","003800","06073003800","38",Census Tract 38,G5020,S,"1793853","21921","+32.6835337","-117.1207979",0.00348523541226622,0.00111964171465131,"Census Tract 38, San Diego County, California","6252","7"
"47","06","073","003901","06073003901","39.01",Census Tract 39.01,G5020,S,"641541","0","+32.7035578","-117.1267807",0.00686783853253338,0.00113481615978212,"Census Tract 39.01, San Diego County, California","4406","5"
"48","06","073","003902","06073003902","39.02",Census Tract 39.02,G5020,S,"1167019","6681","+32.6967490","-117.1263197",0.00347466493690334,0.00493218249075216,"Census Tract 39.02, San Diego County, California","4055","20"
"49","06","073","004000","06073004000","40",Census Tract 40,G5020,S,"856140","0","+32.7087780","-117.1271130",0.00563926460625599,0.0356255178127589,"Census Tract 40, San Diego County, California","4828","172"
"50","06","073","004100","06073004100","41",Census Tract 41,G5020,S,"1514790","0","+32.7148357","-117.1292445",0.00486602103261838,0.0157373490706824,"Census Tract 41, San Diego County, California","7371","116"
"51","06","073","008800","06073008800","88",Census Tract 88,G5020,S,"1461012","0","+32.7824563","-117.1653561",,,,,
"52","06","073","008901","06073008901","89.01",Census Tract 89.01,G5020,S,"1299092","0","+32.7726385","-117.1727590",0.00418754022040009,0.00257352941176471,"Census Tract 89.01, San Diego County, California","5440","14"
"53","06","073","009000","06073009000","90",Census Tract 90,G5020,S,"1231846","0","+32.7782874","-117.1788276",,,,,
"54","06","073","009101","06073009101","91.01",Census Tract 91.01,G5020,S,"2793591","0","+32.8002118","-117.2039588",,,,,
"55","06","081","605300","06081605300","6053",Census Tract 6053,G5020,S,"1090639","0","+37.5820548","-122.3620094",,,,,
"56","06","081","605400","06081605400","6054",Census Tract 6054,G5020,S,"2643187","1270706","+37.5910356","-122.3453899",,,,,
"57","06","081","605500","06081605500","6055",Census Tract 6055,G5020,S,"1098044","0","+37.5765504","-122.3482825",,,,,
"58","06","081","605800","06081605800","6058",Census Tract 6058,G5020,S,"1218794","0","+37.5680176","-122.3451754",,,,,
"59","06","081","605900","06081605900","6059",Census Tract 6059,G5020,S,"773555","0","+37.5723780","-122.3340889",,,,,
"60","06","095","253101","06095253101","2531.01",Census Tract 2531.01,G5020,S,"6253671","0","+38.3505073","-122.0063094",0.00086029469730659,0.000929368029739777,"Census Tract 2531.01, Solano County, California","5380","5"
"61","06","095","253105","06095253105","2531.05",Census Tract 2531.05,G5020,S,"2472066","0","+38.3539119","-121.9670998",,,,,
"62","06","095","253106","06095253106","2531.06",Census Tract 2531.06,G5020,S,"1093164","0","+38.3417499","-121.9660442",,,,,
"63","06","095","253107","06095253107","2531.07",Census Tract 2531.07,G5020,S,"2543548","0","+38.3420895","-121.9790512",,,,,
"64","06","095","253201","06095253201","2532.01",Census Tract 2532.01,G5020,S,"5025048","0","+38.3703216","-122.0115118",0.000960587839160939,0.000414336026517506,"Census Tract 2532.01, Solano County, California","4827","2"
"65","06","071","008706","06071008706","87.06",Census Tract 87.06,G5020,S,"18837817","0","+34.0435274","-117.0805952",,,,,
"66","06","071","980200","06071980200","9802",Census Tract 9802,G5020,S,"19450278","0","+34.5848184","-117.3718475",0.000200511272898002,0.000256410256410256,"Census Tract 9802, San Bernardino County, California","3900","1"
"67","06","071","009300","06071009300","93",Census Tract 93,G5020,S,"11464572","0","+34.9077515","-117.0327827",,,,,
"68","06","037","501900","06037501900","5019",Census Tract 5019,G5020,S,"1380071","0","+33.9558907","-118.0274643",,,,,
"69","06","037","533503","06037533503","5335.03",Census Tract 5335.03,G5020,S,"173596","0","+33.9845559","-118.1910856",,,,,
"70","06","037","543702","06037543702","5437.02",Census Tract 5437.02,G5020,S,"1315476","0","+33.8135657","-118.2696681",,,,,
"71","06","037","553902","06037553902","5539.02",Census Tract 5539.02,G5020,S,"1055808","0","+33.8851402","-118.1530886",,,,,
"72","06","037","570304","06037570304","5703.04",Census Tract 5703.04,G5020,S,"545967","25570","+33.8563177","-118.1926968",,,,,
"73","06","037","620303","06037620303","6203.03",Census Tract 6203.03,G5020,S,"1158102","0","+33.8915717","-118.4018082",,,,,
"74","06","099","000910","06099000910","9.10",Census Tract 9.10,G5020,S,"1919245","0","+37.6726269","-120.9667083",0.00395832736310372,0.000789785441621693,"Census Tract 9.10, Stanislaus County, California","7597","6"
"75","06","099","001001","06099001001","10.01",Census Tract 10.01,G5020,S,"2569479","0","+37.6592371","-120.9657913",0.00216464115877188,0.0485436893203883,"Census Tract 10.01, Stanislaus County, California","5562","270"
"76","06","099","000911","06099000911","9.11",Census Tract 9.11,G5020,S,"1335912","0","+37.6717690","-120.9506437",,,,,
"77","06","037","403801","06037403801","4038.01",Census Tract 4038.01,G5020,S,"1882744","0","+34.1029152","-117.8678976",,,,,
"78","06","037","408134","06037408134","4081.34",Census Tract 4081.34,G5020,S,"884018","0","+34.0224507","-117.8980812",,,,,
"79","06","037","408135","06037408135","4081.35",Census Tract 4081.35,G5020,S,"1129932","0","+34.0161440","-117.8977913",,,,,
"80","06","089","011300","06089011300","113",Census Tract 113,G5020,S,"3372679","1703","+40.5666835","-122.3356287",0.00144484547743797,0.255694643956495,"Census Tract 113, Shasta County, California","4873","1246"
"81","06","089","012000","06089012000","120",Census Tract 120,G5020,S,"10833302","68918","+40.4294831","-122.2988508",0.000431170477846921,0.000428173838578463,"Census Tract 120, Shasta County, California","4671","2"
"82","06","065","043248","06065043248","432.48",Census Tract 432.48,G5020,S,"2061908","0","+33.4712935","-117.0854882",,,,,
"83","06","065","043256","06065043256","432.56",Census Tract 432.56,G5020,S,"1930306","8992","+33.4795340","-117.0867251",,,,,
"84","06","065","043264","06065043264","432.64",Census Tract 432.64,G5020,S,"2681816","0","+33.4952197","-117.1030729",,,,,
"85","06","065","030101","06065030101","301.01",Census Tract 301.01,G5020,S,"496238","0","+33.9971996","-117.3519676",,,,,
"86","06","065","030103","06065030103","301.03",Census Tract 301.03,G5020,S,"1003279","0","+33.9928287","-117.3655823",,,,,
"87","06","093","000100","06093000100","1",Census Tract 1,G5020,S,"860405318","44664518","+41.8199271","-121.6337562",1.30984778501799e-06,15.0062111801242,"Census Tract 1, Siskiyou County, California","1127","16912"
"88","06","093","000600","06093000600","6",Census Tract 6,G5020,S,"548978420","1714095","+41.7028351","-122.9229617",3.30614088619367e-06,0.586225895316804,"Census Tract 6, Siskiyou County, California","1815","1064"
"89","06","093","001000","06093001000","10",Census Tract 10,G5020,S,"406618143","2088236","+41.3441729","-122.3332707",1.60617525617887e-05,0.127851783800337,"Census Tract 10, Siskiyou County, California","6531","835"
"90","06","037","408212","06037408212","4082.12",Census Tract 4082.12,G5020,S,"2815271","35849","+33.9944220","-117.8795586",,,,,
"91","06","037","408301","06037408301","4083.01",Census Tract 4083.01,G5020,S,"1991497","93793","+34.0463141","-117.9955568",,,,,
"92","06","037","408302","06037408302","4083.02",Census Tract 4083.02,G5020,S,"2925012","440688","+34.0380881","-118.0169975",,,,,
"93","06","065","050400","06065050400","504",Census Tract 504,G5020,S,"4087779","0","+33.5863065","-117.1879636",,,,,
"94","06","065","051100","06065051100","511",Census Tract 511,G5020,S,"2210112","0","+33.8965004","-117.2043216",0.00333783989227695,0.0431069540463603,"Census Tract 511, Riverside County, California","7377","318"
"95","06","065","980004","06065980004","9800.04",Census Tract 9800.04,G5020,S,"5735200","0","+33.9361587","-117.3162137",0,,"Census Tract 9800.04, Riverside County, California","0","13"
"96","06","065","043276","06065043276","432.76",Census Tract 432.76,G5020,S,"7922281","0","+33.6075961","-117.2312199",,,,,
"97","06","065","043512","06065043512","435.12",Census Tract 435.12,G5020,S,"3096477","0","+33.7716284","-116.9444015",,,,,
"98","06","065","043810","06065043810","438.10",Census Tract 438.10,G5020,S,"4302215","0","+33.9554592","-117.0006491",,,,,
"99","06","065","043811","06065043811","438.11",Census Tract 438.11,G5020,S,"28658050","0","+33.9837411","-117.0032321",,,,,
"100","06","085","503111","06085503111","5031.11",Census Tract 5031.11,G5020,S,"905170","0","+37.3225494","-121.8397890",,,,,
"101","06","085","503112","06085503112","5031.12",Census Tract 5031.12,G5020,S,"1136976","0","+37.3223269","-121.8710045",0.00359902055980073,0.000244379276637341,"Census Tract 5031.12, Santa Clara County, California","4092","1"
"102","06","085","506302","06085506302","5063.02",Census Tract 5063.02,G5020,S,"2014344","0","+37.3088699","-121.9568660",,,,,
"103","06","085","511200","06085511200","5112",Census Tract 5112,G5020,S,"2057295","0","+37.4511860","-122.1470243",,,,,
"104","06","071","001903","06071001903","19.03",Census Tract 19.03,G5020,S,"40433393","249662","+33.9681149","-117.6215903",0.000291442273963998,0.00127291242362525,"Census Tract 19.03, San Bernardino County, California","11784","15"
"105","06","071","002021","06071002021","20.21",Census Tract 20.21,G5020,S,"6889269","0","+34.1522650","-117.5568457",0.000773666988471491,0.00206378986866792,"Census Tract 20.21, San Bernardino County, California","5330","11"
"106","06","071","002804","06071002804","28.04",Census Tract 28.04,G5020,S,"1003542","0","+34.0957108","-117.4468890",,,,,
"107","06","071","000825","06071000825","8.25",Census Tract 8.25,G5020,S,"952026","0","+34.0916975","-117.6755256",,,,,
"108","06","071","002706","06071002706","27.06",Census Tract 27.06,G5020,S,"44427519","189585","+34.1829662","-117.3929793",0.000267559392636802,0.000420627576343905,"Census Tract 27.06, San Bernardino County, California","11887","5"
"109","06","071","002105","06071002105","21.05",Census Tract 21.05,G5020,S,"3350496","0","+34.0979077","-117.6046422",,,,,
"110","06","071","001503","06071001503","15.03",Census Tract 15.03,G5020,S,"553555","0","+34.0667121","-117.6324257",,,,,
"111","06","071","002037","06071002037","20.37",Census Tract 20.37,G5020,S,"4610527","0","+34.1223624","-117.5015610",,,,,
"112","06","089","012301","06089012301","123.01",Census Tract 123.01,G5020,S,"16994184","754594","+40.4749020","-122.3523205",0.00015587685763553,0.0385050962627407,"Census Tract 123.01, Shasta County, California","2649","102"
"113","06","045","010801","06045010801","108.01",Census Tract 108.01,G5020,S,"182016324","571781","+39.3237324","-123.2049420",3.02720101082802e-05,0.161343012704174,"Census Tract 108.01, Mendocino County, California","5510","889"
"114","06","045","010802","06045010802","108.02",Census Tract 108.02,G5020,S,"311062041","583001","+39.3439207","-123.0742992",6.34600092526237e-06,0.437183383991895,"Census Tract 108.02, Mendocino County, California","1974","863"
"115","06","045","010600","06045010600","106",Census Tract 106,G5020,S,"740557698","1751376","+39.4627807","-123.3637588",8.66509121075938e-06,0.0263362942184822,"Census Tract 106, Mendocino County, California","6417","169"
"116","06","037","603703","06037603703","6037.03",Census Tract 6037.03,G5020,S,"651955","0","+33.8982570","-118.3395521",,,,,
"117","06","045","011500","06045011500","115",Census Tract 115,G5020,S,"5238874","18652","+39.1561868","-123.2032659",0.00123881582187317,0.684899845916795,"Census Tract 115, Mendocino County, California","6490","4445"
"118","06","045","011600","06045011600","116",Census Tract 116,G5020,S,"3824415","0","+39.1357597","-123.2026510",0.00148624037924755,0.0392329345531316,"Census Tract 116, Mendocino County, California","5684","223"
"119","06","045","010500","06045010500","105",Census Tract 105,G5020,S,"3701724","846568","+39.4312988","-123.8014847",0.00125401029358213,0.001292546316243,"Census Tract 105, Mendocino County, California","4642","6"
"120","06","045","010900","06045010900","109",Census Tract 109,G5020,S,"345799653","3051779","+39.2586391","-123.3507124",1.43175389479063e-05,0.0264593011512826,"Census Tract 109, Mendocino County, California","4951","131"
"121","06","045","010200","06045010200","102",Census Tract 102,G5020,S,"1916413483","24949924","+39.7947035","-123.6195862",1.95678022163028e-06,0.181333333333333,"Census Tract 102, Mendocino County, California","3750","680"
"122","06","045","011800","06045011800","118",Census Tract 118,G5020,S,"655827097","1318996","+38.9361372","-123.1194447",3.21273703029078e-06,0.140009492168961,"Census Tract 118, Mendocino County, California","2107","295"
"123","06","085","509801","06085509801","5098.01",Census Tract 5098.01,G5020,S,"1726585","0","+37.3788110","-122.0894335",,,,,
"124","06","085","512401","06085512401","5124.01",Census Tract 5124.01,G5020,S,"41363632","9155","+37.0597429","-121.6052909",0.000115608803404885,0.00188205771643664,"Census Tract 5124.01, Santa Clara County, California","4782","9"
"125","06","085","511911","06085511911","5119.11",Census Tract 5119.11,G5020,S,"36540542","1630399","+37.2009977","-121.8180552",0.000132373515422951,0.00103369857349597,"Census Tract 5119.11, Santa Clara County, California","4837","5"
"126","06","085","506801","06085506801","5068.01",Census Tract 5068.01,G5020,S,"2903959","0","+37.2423153","-121.9563529",,,,,
"127","06","085","507600","06085507600","5076",Census Tract 5076,G5020,S,"13873390","0","+37.2712569","-122.0526822",,,,,
"128","06","085","505202","06085505202","5052.02",Census Tract 5052.02,G5020,S,"9189261","0","+37.3702599","-121.9606355",,,,,
"129","06","085","512035","06085512035","5120.35",Census Tract 5120.35,G5020,S,"2308190","0","+37.2236023","-121.7615938",,,,,
"130","06","085","511913","06085511913","5119.13",Census Tract 5119.13,G5020,S,"1923812","0","+37.2275027","-121.8912184",,,,,
"131","06","085","502500","06085502500","5025",Census Tract 5025,G5020,S,"2496645","0","+37.2931927","-121.8928401",,,,,
"132","06","085","506502","06085506502","5065.02",Census Tract 5065.02,G5020,S,"2992991","50285","+37.2792020","-121.9461058",,,,,
"133","06","085","507206","06085507206","5072.06",Census Tract 5072.06,G5020,S,"3204944","0","+37.2436018","-121.9856032",0.000748531019574757,0.000416840350145894,"Census Tract 5072.06, Santa Clara County, California","2399","1"
"134","06","085","504308","06085504308","5043.08",Census Tract 5043.08,G5020,S,"18612109","1413","+37.4095501","-121.8129261",0.00023312779868203,0.00115233924867481,"Census Tract 5043.08, Santa Clara County, California","4339","5"
"135","06","085","504202","06085504202","5042.02",Census Tract 5042.02,G5020,S,"15528984","0","+37.3764428","-121.7922485",0.000288492795150024,0.000223214285714286,"Census Tract 5042.02, Santa Clara County, California","4480","1"
"136","06","085","504201","06085504201","5042.01",Census Tract 5042.01,G5020,S,"2991761","0","+37.3845973","-121.8211359",,,,,
"137","06","037","460800","06037460800","4608",Census Tract 4608,G5020,S,"6696355","47178","+34.1609430","-118.1776198",,,,,
"138","06","045","010700","06045010700","107",Census Tract 107,G5020,S,"26646757","53812","+39.4224602","-123.3672722",0.000234362477955573,0.00144115292233787,"Census Tract 107, Mendocino County, California","6245","9"
"139","06","045","011700","06045011700","117",Census Tract 117,G5020,S,"176509875","4755607","+39.1624023","-123.1105871",2.41856156773098e-05,0.516045912391661,"Census Tract 117, Mendocino County, California","4269","2203"
"140","06","045","011200","06045011200","112",Census Tract 112,G5020,S,"650709628","105252","+39.1071277","-123.4588038",4.39981195421931e-06,0.0377226685295145,"Census Tract 112, Mendocino County, California","2863","108"
"141","06","045","010400","06045010400","104",Census Tract 104,G5020,S,"7114079","2669929","+39.4499078","-123.8051687",0.000453607557633251,0.00464828013634955,"Census Tract 104, Mendocino County, California","3227","15"
"142","06","045","010300","06045010300","103",Census Tract 103,G5020,S,"477173677","4426823","+39.4551710","-123.6384080",8.47071034054546e-06,1.20460168233548,"Census Tract 103, Mendocino County, California","4042","4869"
"143","06","045","011300","06045011300","113",Census Tract 113,G5020,S,"263373291","249307","+39.1014223","-123.2883087",2.20181779936068e-05,0.214864631833075,"Census Tract 113, Mendocino County, California","5799","1246"
"144","06","085","503113","06085503113","5031.13",Census Tract 5031.13,G5020,S,"728343","0","+37.3156874","-121.8809726",,,,,
"145","06","111","004304","06111004304","43.04",Census Tract 43.04,G5020,S,"1441507","0","+34.1784043","-119.2083946",,,,,
"146","06","111","004506","06111004506","45.06",Census Tract 45.06,G5020,S,"647283","0","+34.1510965","-119.1821348",,,,,
"147","06","111","980000","06111980000","9800",Census Tract 9800,G5020,S,"58634145","8791830","+33.2556547","-119.5035884",,,,,
"148","06","111","003609","06111003609","36.09",Census Tract 36.09,G5020,S,"4402351","977937","+34.1871458","-119.2347259",,,,,
"149","06","111","004710","06111004710","47.10",Census Tract 47.10,G5020,S,"1705447","0","+34.1642972","-119.1565272",,,,,
"150","06","111","007514","06111007514","75.14",Census Tract 75.14,G5020,S,"6201069","0","+34.2599078","-118.8116555",,,,,
"151","06","111","004505","06111004505","45.05",Census Tract 45.05,G5020,S,"559257","0","+34.1578570","-119.1820507",0.00403749975413808,0.000442869796279894,"Census Tract 45.05, Ventura County, California","2258","1"
"152","06","085","510500","06085510500","5105",Census Tract 5105,G5020,S,"2600548","0","+37.3927427","-122.1201299",,,,,
"153","06","035","040304","06035040304","403.04",Census Tract 403.04,G5020,S,"3537581","78748","+40.4067347","-120.6448997",,,,,
"154","06","035","040305","06035040305","403.05",Census Tract 403.05,G5020,S,"170656053","1444856","+40.4780592","-120.6712575",,,,,
"155","06","085","512031","06085512031","5120.31",Census Tract 5120.31,G5020,S,"1424934","0","+37.2315460","-121.8102526",0.00314961956132705,0.000222816399286988,"Census Tract 5120.31, Santa Clara County, California","4488","1"
"156","06","085","502902","06085502902","5029.02",Census Tract 5029.02,G5020,S,"2628378","0","+37.2735860","-121.9156579",,,,,
"157","06","085","502601","06085502601","5026.01",Census Tract 5026.01,G5020,S,"1410424","0","+37.2902315","-121.9146920",0.00190793690407991,0.000371609067261241,"Census Tract 5026.01, Santa Clara County, California","2691","1"
"158","06","053","014104","06053014104","141.04",Census Tract 141.04,G5020,S,"3204492","0","+36.6518615","-121.7987528",,,,,
"159","06","053","011801","06053011801","118.01",Census Tract 118.01,G5020,S,"1032261","0","+36.5586887","-121.9210000",0.00195105695168179,0.000496524329692155,"Census Tract 118.01, Monterey County, California","2014","1"
"160","06","053","011203","06053011203","112.03",Census Tract 112.03,G5020,S,"1809134","0","+36.3177202","-121.2447380",0.00389247009895342,0.000284010224368077,"Census Tract 112.03, Monterey County, California","7042","2"
"161","06","053","014500","06053014500","145",Census Tract 145,G5020,S,"13886273","0","+36.6483700","-121.6367229",,,,,
"162","06","037","106112","06037106112","1061.12",Census Tract 1061.12,G5020,S,"3222752","0","+34.3054910","-118.4124422",0.00182607907775715,0.000509770603228547,"Census Tract 1061.12, Los Angeles County, California","5885","3"
"163","06","037","106113","06037106113","1061.13",Census Tract 1061.13,G5020,S,"1443463","0","+34.3061546","-118.4222070",,,,,
"164","06","037","106114","06037106114","1061.14",Census Tract 1061.14,G5020,S,"1011791","3298","+34.3023558","-118.4268073",,,,,
"165","06","037","106403","06037106403","1064.03",Census Tract 1064.03,G5020,S,"1105644","0","+34.3060186","-118.4412741",,,,,
"166","06","065","030104","06065030104","301.04",Census Tract 301.04,G5020,S,"3273473","174839","+34.0052804","-117.3666531",0.00233544006625379,0.00013080444735121,"Census Tract 301.04, Riverside County, California","7645","1"
"167","06","065","031601","06065031601","316.01",Census Tract 316.01,G5020,S,"1938920","0","+33.9154306","-117.4486324",0.00231262764838157,0.000223015165031222,"Census Tract 316.01, Riverside County, California","4484","1"
"168","06","065","040102","06065040102","401.02",Census Tract 401.02,G5020,S,"9903357","0","+34.0234350","-117.4404100",,,,,
"169","06","037","101300","06037101300","1013",Census Tract 1013,G5020,S,"2581214","0","+34.2487733","-118.2709978",0.00166472055397189,0.000930882010705143,"Census Tract 1013, Los Angeles County, California","4297","4"
"170","06","037","103101","06037103101","1031.01",Census Tract 1031.01,G5020,S,"2029806","0","+34.2732407","-118.3078874",,,,,
"171","06","037","103102","06037103102","1031.02",Census Tract 1031.02,G5020,S,"1241029","0","+34.2633843","-118.3073883",0.00359056879412165,0.000448833034111311,"Census Tract 1031.02, Los Angeles County, California","4456","2"
"172","06","037","103400","06037103400","1034",Census Tract 1034,G5020,S,"2500753","0","+34.2548355","-118.3139736",0.0026639976039217,0.00120084058841189,"Census Tract 1034, Los Angeles County, California","6662","8"
"173","06","037","104103","06037104103","1041.03",Census Tract 1041.03,G5020,S,"949109","0","+34.2820993","-118.3925764",,,,,
"174","06","037","104105","06037104105","1041.05",Census Tract 1041.05,G5020,S,"584682","0","+34.2761480","-118.4046859",,,,,
"175","06","065","041101","06065041101","411.01",Census Tract 411.01,G5020,S,"1578447","0","+33.9430035","-117.4647570",,,,,
"176","06","065","041102","06065041102","411.02",Census Tract 411.02,G5020,S,"2458349","0","+33.9403266","-117.4871242",,,,,
"177","06","065","043818","06065043818","438.18",Census Tract 438.18,G5020,S,"1820259","0","+33.9374519","-116.9514019",,,,,
"178","06","065","043820","06065043820","438.20",Census Tract 438.20,G5020,S,"4290423","0","+33.9186192","-116.9605080",,,,,
"179","06","065","043821","06065043821","438.21",Census Tract 438.21,G5020,S,"1992651","0","+33.9374622","-116.9602337",,,,,
"180","06","065","044405","06065044405","444.05",Census Tract 444.05,G5020,S,"326108663","39213","+33.8038178","-116.6792727",3.98333484320838e-06,0.696689761354888,"Census Tract 444.05, Riverside County, California","1299","905"
"181","06","065","044518","06065044518","445.18",Census Tract 445.18,G5020,S,"19391601","0","+33.9733061","-116.4887951",,,,,
"182","06","065","044521","06065044521","445.21",Census Tract 445.21,G5020,S,"169077289","0","+33.9727898","-116.6546180",7.99634302156335e-06,0.00591715976331361,"Census Tract 445.21, Riverside County, California","1352","8"
"183","06","065","044919","06065044919","449.19",Census Tract 449.19,G5020,S,"7863730","0","+33.7653336","-116.3648177",,,,,
"184","06","037","106510","06037106510","1065.10",Census Tract 1065.10,G5020,S,"5708883","8398","+34.3264211","-118.4796437",0.000936610541852058,0.00280531138956424,"Census Tract 1065.10, Los Angeles County, California","5347","15"
"185","06","037","106520","06037106520","1065.20",Census Tract 1065.20,G5020,S,"2205882","0","+34.3088574","-118.4613523",,,,,
"186","06","037","106604","06037106604","1066.04",Census Tract 1066.04,G5020,S,"2611563","8851","+34.3033292","-118.4745764",0.00196931875662199,0.000194439043359907,"Census Tract 1066.04, Los Angeles County, California","5143","1"
"187","06","037","106641","06037106641","1066.41",Census Tract 1066.41,G5020,S,"1135493","0","+34.2984691","-118.5084331",,,,,
"188","06","037","910605","06037910605","9106.05",Census Tract 9106.05,G5020,S,"1343334","6658","+34.5684895","-118.0627805",,,,,
"189","06","037","910714","06037910714","9107.14",Census Tract 9107.14,G5020,S,"1003314","651","+34.5616733","-118.0375369",,,,,
